,Links
0,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3988/1/9237_ESE_DEC21_SOCS__1_B.Tech-CSE_MATH1036_Engineering%20Mathematics.pdf
1,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3988/2/9238_ESE_DEC21_SOCS__1_B.Tech-CSE_PHYS1023_Engineering%20Physics.pdf
2,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3988/3/9239_ESE_DEC21_SOCS__1_B.Tech-CSE_CSEG1010_Principles%20of%20Programming%20Languages.pdf
3,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3552/4/SOCS_Sem%201_B.Tech-CSE_MATH1036_Engineering%20Mathematics.pdf
4,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3552/5/SOCS_Sem%201_B.Tech-CSE_PHYS1023_Engineering%20Physics.pdf
5,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3552/3/SOCS_Sem%201_B.Tech-CSE_CSEG1010_Principles%20of%20Programming%20Languages.pdf
6,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/2918/1/B%20TECH%20CSE-ALL-I-Programming%20and%20Data%20structures.pdf
7,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/2918/5/B%20TECH%28CSE%2bAI%26ML%29-I-Programming%20with%20Python.pdf
8,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/2918/16/B%20TECH-B.Tech.%20CSE-AIML%2c%20Big%20Data%2c%20SCF%2c%20Dev%20Ops%2c%20OSS%2c%20OGI%2c%20IoT%20smart%20city%2c%20Cyber%20Law-I-Basic%20Electronics%20Engineering.pdf
9,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/2918/17/B%20TECH-CSE-All%20SOCS%20Branches-I-Mathematics%20I.pdf
10,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/2918/18/B%20Tech-CSE-I-Physics%20I-1008.pdf
11,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/2721/46/7-M-BasicElectronicsEngineering_10031031070443.500_X_500.pdf
12,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/2721/132/10-M-PhysicsI_10081030160258.965_X.pdf
13,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/2731/70/4-M-MathematicsI_20171124073750.422_X.pdf
14,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/2731/479/8-M-OpenSourceandOpenStandards_20171205163109.949_X.pdf
15,
16,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3563/6/ESE_MAY21_SOCS_II_B.Tech-CSE_PHYS1023_Engineering%20Physics.pdf
17,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3563/4/ESE_MAY21_SOCS_II_B.Tech-CSE_CSEG1014_Computer%20System%20Architecture.pdf
18,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3563/3/ESE_MAY21_SOCS_II_B.Tech-CSE_CSEG1013_Operating%20Systems.pdf
19,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3563/2/ESE_MAY21_SOCS_II_B.Tech-CSE_CSEG1012_Discrete%20Mathematics.pdf
20,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3563/5/ESE_MAY21_SOCS_II_B.Tech-CSE_CSIB1002_Python%20Programming.pdf
21,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3563/1/ESE_MAY21_SOCS_II_B.Tech-CSE_CSEG1011_Data%20Structures.pdf
22,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3314/9/ESE%20NGB%20B%20TECH%28CSE%2bAll%20SOCS%29%20%20II%20PHYS1008%20Physics%20I.pdf
23,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3314/6/ESE%20NGB%20B%20TECH%28CSE%2bAll%20SOCS%29%20%20II%20CHEM1011%20Chemistry%20I.pdf
24,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3314/7/ESE%20NGB%20B%20TECH%28CSE%2bAll%20SOCS%29%20%20II%20MATH1005%20Mathematics%20II.pdf
25,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3314/5/ESE%20NGB%20B%20TECH%28CSE%2bAI%26ML%29%20%20II%20CSEG1004%20Advanced%20Data%20Structures.pdf
26,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3314/4/ESE%20NGB%20B%20TECH%28CSE%2bAI%26ML%29%20%20II%20CSAI1002%20Introduction%20to%20Artificial%20Intelligence.pdf
27,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/2723/52/14-M-II-AdvancedDataStructures_20190413092142.201_X.pdf
28,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/2723/89/10-M-Introduction%20to%20Artificial%20Intelligence-updated.pdf
29,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/2723/156/6-M-MATHEMATICS-%201005_updated.pdf
30,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/2730/73/8-M-Chemistry-1011-updated.pdf
31,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/2731/340/7-E-OperatingSystems_20171204165726.549_X.pdf
32,
33,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3976/22/10006_ESE_DEC21_Exploratory__3_SOL20B001_Constitution%20and%20Indian%20Polity.pdf
34,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3989/62/9951_ESE_DEC21_Exploratory__3__SOE_SOCS_SOE20B003_Introduction%20to%20Petroleum%20Engineering.pdf
35,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3989/53/8247_ESE_DEC21_SOCS__3_BTec-CSE-AIM_CSSF2009_IT%20Systems%20Security%20%26%20Physical%20Security.pdf
36,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3989/24/8217_ESE_DEC21_SOCS__3_BTec-CSE-AIM_CSEG2035P_Formal%20Languages%20%26%20Automata%20Theory.pdf
37,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3989/22/8215_ESE_DEC21_SOCS__3_BTec-CSE-AIM_CSBA2010_Applied%20Statistics.pdf
38,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3989/21/8214_ESE_DEC21_SOCS__3_BTec-CSE-AIM_CSAI2007_Introduction%20to%20Artificial%20Intelligence.pdf
39,http://dr.ddn.upes.ac.in:8080/jspui/bitstream/123456789/3989/20/8213_ESE_DEC21_SOCS__3_BTec-CSE-AIM_CSEG2036P_Probability%20%26%20Statistics%20for%20Engineers.pdf
